"OrderColecta"	"NSiembra"	"Origen"	"Raza"	"Estado"	"Num_Colecta"	"Nombre_comun"	"Raza_Primaria"	"Raza_Secundaria"	"Año._de_colecta"	"Localidad"	"Municipio"	"Estado.1"	"Longitud"	"Latitud"	"Altitud"	"Ruizetal2008_grupo"	"Sanchezetal_grupo"	"Categ.Altitud"	"Rbiogeo"	"DivFloristic"	"PeralesBiog"	"pca$eigenvect[, 1]"	"pca$eigenvect[, 2]"	"ColorByRaza"	"ColorByLong"	"ColorByLat"	"ColorByAlt"	"ColorByGpEc"	"ColorByTax"	"ColorByCategAlt"	"ColorByBiogeo"	"ColorByDivFloristic"	"ColorByPeralesBiog"
2	3	"INIFAP-2009-16"	"Apachito"	"Chihuahua"	"16"	"Ocho carreras"	"Apachito"	NA	2009	"Santo Tomás"	"Guerrero"	"Chihuahua"	-107.583	28.68577778	1975	"1A_templado540-640mm"	"Sierra de Chihuahua"	"mid"	"Sierra Madre Occidental"	"Sierra Madre Occidental"	"Ca¤ones Chi"	-0.056541631949545	-0.115227414272372	"#FF2100FF"	"#A1FFFFFF"	"#FF8CFFFF"	"#A9D800FF"	"turquoise"	"violetred"	"#0000FFFF"	"#007F57"	"gold"	"#00FFFFFF"
1	68	"2009-72"	"Chalqueño"	"Tlaxcala"	"22"	"Chalqueño Criollo"	"Chalqueño"	NA	2008	"Ignacio Zaragoza"	"Cuapiaxtla"	"Tlaxcala"	-97.92944444	19.29083333	2497	""	"Cónico"	"high"	"Eje Volcanico"	"Serranias Meridionales"	"Mesa Centra"	-0.0990951857084565	0.0546077608732977	"#F4FF00FF"	"#FFBDFFFF"	"#D9FFFFFF"	"#3EBB00FF"	"white"	"yellow2"	"#FF0000FF"	"#3300FFFF"	"green3"	"green3"
1	91	"2007-33"	"Dulcillo del Noroeste"	"Sonora"	"SON2007-033"	"Maíz Dulce"	"Dulcillo del Noroeste"	NA	2007	"Agua Blanca"	"Yécora"	"Sonora"	-108.9246667	28.53702778	1435	"2A_semicalido500-870mm"	"Chapalote"	"mid"	"Sierra Madre Occidental"	"Sierra Madre Occidental"	"Sierras del"	-0.0171814025972046	-0.249285831885786	"#00FF59FF"	"#8FFFFFFF"	"#FF8FFFFF"	"#E8C52BFF"	"gold"	"orangered3"	"#0000FFFF"	"#007F57"	"gold"	"gold"
2	39	"Chis-2009-18"	"Dzit-Bacal"	"Chiapas"	"Repetida 18"	"Olotillo crema"	"Dzit-Bacal"	NA	2009	"Nuevo Vicente Guerrero"	"Villacorzo"	"Chiapas"	-92.97972222	16.03225	618	"3A_muycalido990-1360mm"	"Maduración tardía"	"low"	"Costa del Pacifico"	"Serranias Transismicas"	"Chiapas"	0.107051388784332	0.0592576531047462	"#00FF7AFF"	"#FFA2FFFF"	"#8CFFFFFF"	"#EBB16CFF"	"red"	"cyan"	"#00FF00FF"	"#00FF66FF"	"#B8095F"	"#0000FFFF"
2	12	"Celaya-2009-114"	"Celaya"	"Guanajuato"	"2009-REPO-114"	"Maíz Criollo"	"Celaya"	NA	2009	"El Ahuacate"	"Uriangato"	"Guanajuato"	-101.1188889	20.09111111	1877	"2A_semicalido500-870mm y 1B_templado>650mm"	"Dentados tropicales"	"mid"	"Eje Volcanico"	"Altiplanicie"	"Baj¡o"	-0.0151525157257857	-0.0187902904343307	"#FFE900FF"	"#D5FFFFFF"	"#FFF1FFFF"	"#B4DA00FF"	"goldenrod"	"springgreen4"	"#0000FFFF"	"#3300FFFF"	"#FF0000FF"	"red"
2	41	"Celaya-2009-2"	"Elotes Occidentales"	"Guanajuato"	"2009-REPO-002"	"Maíz Criollo"	"Elotes Occidentales"	NA	2009	"Comonfort"	"Comonfort"	"Guanajuato"	-100.7658333	20.74416667	1800	"2C_semicalido740-855mm y 1B_templado>650mm"	"Ocho Hileras"	"mid"	"Eje Volcanico"	"Altiplanicie"	"Baj¡o"	-0.0212404575367584	-0.0323111968603068	"#00FFDEFF"	"#DAFFFFFF"	"#FFDEFFFF"	"#CCE000FF"	"yellow"	"mediumblue"	"#0000FFFF"	"#3300FFFF"	"#FF0000FF"	"red"
1	35	"2009-6-a"	"Chalqueño"	"Estado de México"	"2009-006"	"Criollo de la Región"	"Chalqueño"	NA	2009	"La Cofradía"	"Amatepec"	"Estado de México"	-100.2275	18.66027778	1390	""	"Cónico"	"mid"	"Depresion del Balsas"	"Depresion del Balsas"	"Cordillera"	-0.0978221506303254	0.0539796557208573	"#F4FF00FF"	"#DEFFFFFF"	"#BDFFFFFF"	"#E8C132FF"	"white"	"yellow2"	"#0000FFFF"	"#0066FFFF"	"#FF00FFFF"	"blue4"
1	58	"2009-169"	"Palomero Toluqueño"	"Estado de México"	"2009-169"	"Blanco"	"Palomero Toluqueño"	NA	2009	"San Marcos Tlazapan"	"San Bartolo Morelos"	"Estado de México"	-99.71715556	19.79833333	2688	"1B_templado>650mm"	"Cónico"	"high"	"Eje Volcanico"	"Altiplanicie"	"Mesa Centra"	-0.102844794232456	0.0510075189597679	"#0B00FFFF"	"#F5FFFFFF"	"#FCFFFFFF"	"#07A900FF"	"lightseagreen"	"yellow2"	"#FF0000FF"	"#3300FFFF"	"#FF0000FF"	"green3"
2	51	"Ig-2010-114"	"Nal-tel de Altura"	"Oaxaca"	"OAX-165"	"Costeño"	"Nal-tel de Altura"	NA	1954	"El Ciruelo"	"Santiago Pinotepa Nacional"	"Oaxaca"	-98.21666667	16.3	50	"3A_muycalido990-1360mm"	"Dentados tropicales"	"low"	"Costa del Pacifico"	"Costa Pacifica"	"Complejo de"	0.0801788102942268	0.0165223836581086	"#009BFFFF"	"#FFCEFFFF"	"#9FFFFFFF"	"#F2E8E7FF"	"red"	"springgreen4"	"#00FF00FF"	"#00FF66FF"	"#0000FFFF"	"#FF00FFFF"
1	82	"2009-121"	"Comiteco"	"Chiapas"	"121"	"Amarillo"	"Comiteco"	NA	2009	"San Marcos"	"Independencia"	"Chiapas"	-91.97702778	16.19611111	1553	"1C_templado>1000mm"	"Maduración tardía"	"mid"	"Los Altos de Chiapas"	"Serranias Transismicas"	"Chiapas"	0.0578572027360847	0.0527954887615468	"#B1FF00FF"	"#FF86FFFF"	"#96FFFFFF"	"#E6D710FF"	"mediumturquoise"	"cyan"	"#0000FFFF"	"#FF0099FF"	"#B8095F"	"#0000FFFF"
1	67	"2009-92"	"Chalqueño"	"Tlaxcala"	"92"	"Blanco Campeón"	"Chalqueño"	NA	2009	"Lázaro Cárdenas, a 500 km al noroeste"	"Huamantla"	"Tlaxcala"	-97.98805556	19.35916667	2530	""	"Cónico"	"high"	"Eje Volcanico"	"Serranias Meridionales"	"Mesa Centra"	-0.0939465891191983	0.0502332988907527	"#F4FF00FF"	"#FFC5FFFF"	"#E1FFFFFF"	"#38B900FF"	"white"	"yellow2"	"#FF0000FF"	"#3300FFFF"	"green3"	"green3"
1	93	"2009-59"	"Pepitilla"	"Estado de México"	"2009-059"	"Ancho"	"Pepitilla"	NA	2009	"San Pedro Temeyac"	"Temascaltepec"	"Estado de México"	-100.1686111	19.0525	1830	"2C_semicalido740-855mm"	"Dentados tropicales"	"mid"	"Eje Volcanico"	"Depresion del Balsas"	"Cordillera"	-0.00889301825747368	-0.0629652165146015	"#2C00FFFF"	"#E0FFFFFF"	"#C5FFFFFF"	"#C0DD00FF"	"yellow3"	"springgreen4"	"#0000FFFF"	"#3300FFFF"	"#FF00FFFF"	"blue4"
2	21	"Guerrero-2008-12"	"Conejo"	"Guerrero"	"12"	"Crema"	"Conejo"	NA	2008	"Olinalá"	"Olinalá"	"Guerrero"	-98.74311111	17.78013889	1312	""	"Tropicales precoces"	"mid"	"Depresion del Balsas"	"Depresion del Balsas"	"Cordillera"	0.0110396682798151	-0.0514047964095606	"#6FFF00FF"	"#FFEEFFFF"	"#B4FFFFFF"	"#E8BF35FF"	"white"	"red2"	"#0000FFFF"	"#0066FFFF"	"#FF00FFFF"	"blue4"
2	6	"INIFAP-2009-415"	"Azul"	"Chihuahua"	"415"	"Apachito y azul"	"Azul"	NA	2009	"Las Varas"	"Temosachic"	"Chihuahua"	-108.0152222	28.45538889	2215	"1A_templado540-640mm"	"Sierra de Chihuahua"	"high"	"Sierra Madre Occidental"	"Sierra Madre Occidental"	"Ca¤ones Chi"	-0.0575943156987054	-0.148353064754798	"#FF6400FF"	"#9DFFFFFF"	"#FF9AFFFF"	"#5EC400FF"	"turquoise"	"violetred"	"#FF0000FF"	"#007F57"	"gold"	"#00FFFFFF"
1	101	"2009-142"	"Cónico"	"Tlaxcala"	"142"	"Blanco"	"Cónico"	NA	2009	"Cerca de Capula"	"Tetla"	"Tlaxcala"	-98.04833333	19.51888889	2557	"1B_templado>650mm"	"Cónico"	"high"	"Eje Volcanico"	"Altiplanicie"	"Mesa Centra"	-0.100520113866101	0.0404683028547454	"#4EFF00FF"	"#FFC9FFFF"	"#EEFFFFFF"	"#2AB500FF"	"lightseagreen"	"yellow2"	"#FF0000FF"	"#3300FFFF"	"#FF0000FF"	"green3"
1	27	"2009-232"	"Ancho"	"Estado de México"	"2009-232"	"Ancho"	"Ancho"	NA	2009	"Carretera San Juan Tepeoculco"	"Atlautla"	"Estado de México"	-98.77861111	18.9975	2226	"4_Jala"	"Ocho Hileras"	"high"	"Eje Volcanico"	"Serranias Meridionales"	"Mesa Centra"	-0.0428371327496122	-0.0331324633114403	"#FF0000FF"	"#FFF1FFFF"	"#C2FFFFFF"	"#57C200FF"	"darkred"	"mediumblue"	"#FF0000FF"	"#3300FFFF"	"green3"	"green3"
1	43	"2009-46"	"Cónico"	"Estado de México"	"2009-046"	"Amarillo Zanahoria"	"Cónico"	NA	2009	"Colonia Libertad"	"Santacruz Atizapán"	"Estado de México"	-99.50972222	19.18472222	2585	"1B_templado>650mm"	"Cónico"	"high"	"Eje Volcanico"	"Serranias Meridionales"	"Mesa Centra"	-0.0988077236484968	0.0625478272875588	"#4EFF00FF"	"#FDFFFFFF"	"#D0FFFFFF"	"#1CB000FF"	"lightseagreen"	"yellow2"	"#FF0000FF"	"#3300FFFF"	"green3"	"green3"
2	1	"INIFAP-2009-2"	"Apachito"	"Chihuahua"	"2"	"Perlilla"	"Apachito"	NA	2009	"Tres Ojitos"	"Madera"	"Chihuahua"	-108.0796111	29.11311111	2106	"1A_templado540-640mm"	"Sierra de Chihuahua"	"high"	"Sierra Madre Occidental"	"Sierra Madre Occidental"	"Ca¤ones Chi"	-0.0628233371021348	-0.0364287550263567	"#FF2100FF"	"#9AFFFFFF"	"#FF8AFFFF"	"#79CC00FF"	"turquoise"	"violetred"	"#FF0000FF"	"#007F57"	"gold"	"#00FFFFFF"
2	33	"INIFAP-2009-14"	"Cristalino de Chihuahua"	"Chihuahua"	"14"	"Maiz blanco"	"Cristalino de Chihuahua"	NA	2009	"La Cantera"	"Cusihuiriachi"	"Chihuahua"	-106.8788889	28.19322222	2094	"1A_templado540-640mm"	"Sierra de Chihuahua"	"high"	"Sierra Madre Occidental"	"Sierra Madre Occidental"	"Ca¤ones Chi"	-0.0596340242178964	-0.0869778784573602	"#00FF16FF"	"#A6FFFFFF"	"#FF9FFFFF"	"#80CD00FF"	"turquoise"	"violetred"	"#FF0000FF"	"#007F57"	"gold"	"#00FFFFFF"
1	100	"2007-OPV087"	"Blando de Sonora"	"Sinaloa"	"SIN-2007-087"	"Maíz Blando"	"Blando de Sonora"	NA	2007	"Chinobampo"	"El Fuerte "	"Sinaloa"	-108.3833333	26.39472222	299	"2A_semicalido500-870mm"	"Ocho Hileras"	"low"	"Costa del Pacifico"	"Costa Pacifica"	"Sierras del"	0.0218458937677421	-0.164279528957913	"#FF8500FF"	"#98FFFFFF"	"#FFADFFFF"	"#EEBBA3FF"	"gold"	"mediumblue"	"#00FF00FF"	"#00FF66FF"	"#0000FFFF"	"gold"
